date,collected_at,source,market,category_id,category_name,ranking_type,ranking_url,global_rank,page_rank,group_type,group_value,group_rank,product_id,product_name,brand_name,product_url,image_url,image_path,rating_score,review_count,price_text,rank_change_text,brand_url
2025-12-23,2025-12-22T17:14:53.075201Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,1.0,1.0,,,,10272213,オルビス ザ クレンジング オイル,オルビス,https://www.cosme.net/products/10272213/,https://cache-cdn.cosme.net/media/product/10272/skuimg_1050440_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__1__10272213.jpg,5.3,3591,"税込価格：110ml・1,980円",順位アップ,https://www.cosme.net/brands/215/
2025-12-23,2025-12-22T17:14:53.833913Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,2.0,2.0,,,,10188648,ヴォワールコレクチュールｎ,クレ・ド・ポー ボーテ,https://www.cosme.net/products/10188648/,https://cache-cdn.cosme.net/media/product/10188/skuimg_992981_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__2__10188648.jpg,5.8,18520,"税込価格：40g・8,250円",順位アップ,https://www.cosme.net/brands/112/
2025-12-23,2025-12-22T17:14:54.598175Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,3.0,3.0,,,,10278376,レチノパワー リンクルクリーム ba,エリクシール,https://www.cosme.net/products/10278376/,https://cache-cdn.cosme.net/media/product/10278/skuimg_1055568_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__3__10278376.jpg,5.6,1852,"税込価格：15g・6,600円 (編集部調べ)",順位ダウン,https://www.cosme.net/brands/7/
2025-12-23,2025-12-22T17:14:55.353113Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,4.0,4.0,,,,10276493,カネボウ クリーム イン デイII,KANEBO,https://www.cosme.net/products/10276493/,https://cache-cdn.cosme.net/media/product/10276/skuimg_1047393_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__4__10276493.jpg,5.8,1555,"税込価格：20g・4,950円",順位ダウン,https://www.cosme.net/brands/113346/
2025-12-23,2025-12-22T17:14:56.126985Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,5.0,5.0,,,,10251821,RMK デューイーメルト リップカラー,RMK,https://www.cosme.net/products/10251821/,https://cache-cdn.cosme.net/media/product/10251/skuimg_963040_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__5__10251821.jpg,5.6,4687,"税込価格：1レフィル・3,080円",順位アップ,https://www.cosme.net/brands/29/
2025-12-23,2025-12-22T17:14:56.885686Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,6.0,6.0,,,,10243030,スキンクリア クレンズ オイル アロマタイプ リフレシングシトラスの香り,アテニア,https://www.cosme.net/products/10243030/,https://cache-cdn.cosme.net/media/product/10243/skuimg-d_98261_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__6__10243030.jpg,5.6,14009,"税込価格：175ml・1,980円",順位ダウン,https://www.cosme.net/brands/438/
2025-12-23,2025-12-22T17:14:57.627957Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,7.0,7.0,,,,10275368,スキンパワー リニュー クリーム,SK-II,https://www.cosme.net/products/10275368/,https://cache-cdn.cosme.net/media/product/10275/skuimg_1046841_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__7__10275368.jpg,6.0,3676,"税込価格：50g・18,700円 (編集部調べ)",順位アップ,https://www.cosme.net/brands/73/
2025-12-23,2025-12-22T17:14:58.383505Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,8.0,8.0,,,,10146071,超細芯アイブロウ,セザンヌ,https://www.cosme.net/products/10146071/,https://cache-cdn.cosme.net/media/product/10146/skuimg_893896_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__8__10146071.jpg,5.5,19632,税込価格：550円,順位アップ,https://www.cosme.net/brands/89/
2025-12-23,2025-12-22T17:14:59.160560Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,9.0,9.0,,,,10248076,ルース パウダー,コスメデコルテ,https://www.cosme.net/products/10248076/,https://cache-cdn.cosme.net/media/product/10248/skuimg_947990_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__9__10248076.jpg,5.7,9130,"税込価格：16g・6,270円",順位アップ,https://www.cosme.net/brands/79/
2025-12-23,2025-12-22T17:14:59.905923Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,10.0,10.0,,,,10147158,クリーミータッチライナー,キャンメイク,https://www.cosme.net/products/10147158/,https://cache-cdn.cosme.net/media/product/10147/skuimg_976925_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__10__10147158.jpg,5.4,24049,税込価格：715円,順位アップ,https://www.cosme.net/brands/68/
2025-12-23,2025-12-22T17:15:03.508760Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,11.0,1.0,,,,10279126,モイストケア　ローション　ＥＸ,d プログラム,https://www.cosme.net/products/10279126/,https://cache-cdn.cosme.net/media/product/10279/skuimg_1057748_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__11__10279126.jpg,5.5,1934,"税込価格：110ml(レフィル)・2,860円",順位ダウン,https://www.cosme.net/brands/645/
2025-12-23,2025-12-22T17:15:04.257371Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,12.0,2.0,,,,10124096,スピーディーマスカラリムーバー,ヒロインメイク,https://www.cosme.net/products/10124096/,https://cache-cdn.cosme.net/media/product/10124/skuimg_1068924_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__12__10124096.jpg,6.0,15019,税込価格：924円,順位アップ,https://www.cosme.net/brands/11624/
2025-12-23,2025-12-22T17:15:05.082791Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,13.0,3.0,,,,10243404,マルチファンデパフ ２Ｐ,ロージーローザ,https://www.cosme.net/products/10243404/,https://cache-cdn.cosme.net/media/product/10243/skuimg-d_98697_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__13__10243404.jpg,5.5,7347,税込価格：2個入り・638円,10位以上順位アップ,https://www.cosme.net/brands/3608/
2025-12-23,2025-12-22T17:15:06.154762Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,14.0,4.0,,,,10259711,ゴールデンタイムリペア　深夜浸透クリーム,SOFINA iP,https://www.cosme.net/products/10259711/,https://cache-cdn.cosme.net/media/product/10259/skuimg_994336_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__14__10259711.jpg,5.3,2384,"税込価格：55g・2,640円 (編集部調べ)",10位以上順位アップ,https://www.cosme.net/brands/112175/
2025-12-23,2025-12-22T17:15:06.928540Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,15.0,5.0,,,,10267501,メラノフォーカスＩＶ,HAKU,https://www.cosme.net/products/10267501/,https://cache-cdn.cosme.net/media/product/10267/skuimg_1017278_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__15__10267501.jpg,5.5,2407,"税込価格：45g(レフィル)・10,670円 (編集部調べ)",順位ダウン,https://www.cosme.net/brands/12446/
2025-12-23,2025-12-22T17:15:07.607848Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,16.0,6.0,,,,10270653,PDRN100ヒアルロン酸セラムマスク,Anua,https://www.cosme.net/products/10270653/,https://cache-cdn.cosme.net/media/product/10270/skuimg_1029058_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__16__10270653.jpg,5.3,4505,税込価格：7枚・770円,順位ダウン,https://www.cosme.net/brands/122666/
2025-12-23,2025-12-22T17:15:08.383714Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,17.0,7.0,,,,10263023,PDRN ヒアルロン酸100 セラム,Anua,https://www.cosme.net/products/10263023/,https://cache-cdn.cosme.net/media/product/10263/skuimg_1004426_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__17__10263023.jpg,5.2,7513,税込価格：1ml (オープン価格),順位ダウン,https://www.cosme.net/brands/122666/
2025-12-23,2025-12-22T17:15:09.152640Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,18.0,8.0,,,,10202914,ホワイトトリュフファーストスプレーセラム,d'Alba(ダルバ),https://www.cosme.net/products/10202914/,https://cache-cdn.cosme.net/media/product/10202/skuimg_966373_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__18__10202914.jpg,5.5,7969,"税込価格：100ml・2,420円",順位ダウン,https://www.cosme.net/brands/120823/
2025-12-23,2025-12-22T17:15:09.918900Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,19.0,9.0,,,,10209809,リポソーム アドバンスト リペアセラム,コスメデコルテ,https://www.cosme.net/products/10209809/,https://cache-cdn.cosme.net/media/product/10209/skuimg-d_34901_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__19__10209809.jpg,5.8,16557,"税込価格：30ml・8,800円",順位ダウン,https://www.cosme.net/brands/79/
2025-12-23,2025-12-22T17:15:10.678627Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,20.0,10.0,,,,10203762,カネボウ スクラビング マッド ウォッシュ,KANEBO,https://www.cosme.net/products/10203762/,https://cache-cdn.cosme.net/media/product/10203/skuimg_882870_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__20__10203762.jpg,5.5,16126,"税込価格：130g・3,080円",順位ダウン,https://www.cosme.net/brands/113346/
2025-12-23,2025-12-22T17:15:14.661750Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/2,21.0,1.0,,,,10263025,スーパーラメラシャンプー&EXモイストトリートメント ＦＯＲ ＤＡＩＬＹ ＤＡＭＡＧＥ,THE ANSWER,https://www.cosme.net/products/10263025/,https://cache-cdn.cosme.net/media/product/10263/skuimg_1001526_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__21__10263025.jpg,5.1,5900,税込価格：8g (オープン価格),順位アップ,https://www.cosme.net/brands/130288/
2025-12-23,2025-12-22T17:15:15.440016Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/2,22.0,2.0,,,,10195129,メディテーションバスt,アユーラ,https://www.cosme.net/products/10195129/,https://cache-cdn.cosme.net/media/product/10195/skuimg_766646_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__22__10195129.jpg,5.6,5609,"税込価格：300ml・2,200円",順位変わらず,https://www.cosme.net/brands/85/
2025-12-23,2025-12-22T17:15:16.219901Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/2,23.0,3.0,,,,10276467,エッセンス スキンセッティング パウダー,SHISEIDO,https://www.cosme.net/products/10276467/,https://cache-cdn.cosme.net/media/product/10276/skuimg_1047391_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__23__10276467.jpg,5.4,1280,"税込価格：7g・5,500円",順位アップ,https://www.cosme.net/brands/21256/
2025-12-23,2025-12-22T17:15:16.971874Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/2,24.0,4.0,,,,10257456,ABC-Gピールウォッシュ,ドクターケイ,https://www.cosme.net/products/10257456/,https://cache-cdn.cosme.net/media/product/10257/skuimg_983055_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__24__10257456.jpg,5.3,3893,"税込価格：100mL・3,300円",順位アップ,https://www.cosme.net/brands/4566/
2025-12-23,2025-12-22T17:15:17.830328Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/2,25.0,5.0,,,,10276613,バックステージ グロウ マキシマイザー パレット,ディオール,https://www.cosme.net/products/10276613/,https://cache-cdn.cosme.net/media/product/10276/skuimg_1048460_m.jpg,/Users/yunhyerim/study/Crawling/output/2025-12-23_images/ALL__products_top100__25__10276613.jpg,5.8,1060,"税込価格：6,930円",10位以上順位アップ,https://www.cosme.net/brands/46/
