date,collected_at,source,market,category_id,category_name,ranking_type,ranking_url,global_rank,page_rank,group_type,group_value,group_rank,product_id,product_name,brand_name,product_url,image_url,image_path,rating_score,review_count,price_text,rank_change_text,brand_url
2025-12-29,2025-12-29T13:37:43.898023Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,1.0,1.0,,,,10278376,レチノパワー リンクルクリーム ba,エリクシール,https://www.cosme.net/products/10278376/,https://cache-cdn.cosme.net/media/product/10278/skuimg_1055568_m.jpg,,5.6,2023,"税込価格：15g・6,600円 (編集部調べ)",順位アップ,https://www.cosme.net/brands/7/
2025-12-29,2025-12-29T13:37:43.898135Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,2.0,2.0,,,,10272213,オルビス ザ クレンジング オイル,オルビス,https://www.cosme.net/products/10272213/,https://cache-cdn.cosme.net/media/product/10272/skuimg_1050440_m.jpg,,5.3,3800,"税込価格：110ml・1,980円",順位ダウン,https://www.cosme.net/brands/215/
2025-12-29,2025-12-29T13:37:43.898150Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,3.0,3.0,,,,10276493,カネボウ クリーム イン デイII,KANEBO,https://www.cosme.net/products/10276493/,https://cache-cdn.cosme.net/media/product/10276/skuimg_1047393_m.jpg,,5.8,1660,"税込価格：20g・4,950円",順位アップ,https://www.cosme.net/brands/113346/
2025-12-29,2025-12-29T13:37:43.898159Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,4.0,4.0,,,,10275368,スキンパワー リニュー クリーム,SK-II,https://www.cosme.net/products/10275368/,https://cache-cdn.cosme.net/media/product/10275/skuimg_1046841_m.jpg,,6.0,3928,"税込価格：50g・18,700円 (編集部調べ)",順位アップ,https://www.cosme.net/brands/73/
2025-12-29,2025-12-29T13:37:43.898168Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,5.0,5.0,,,,10146071,超細芯アイブロウ,セザンヌ,https://www.cosme.net/products/10146071/,https://cache-cdn.cosme.net/media/product/10146/skuimg_893896_m.jpg,,5.5,19754,税込価格：550円,順位アップ,https://www.cosme.net/brands/89/
2025-12-29,2025-12-29T13:37:43.898176Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,6.0,6.0,,,,10251821,RMK デューイーメルト リップカラー,RMK,https://www.cosme.net/products/10251821/,https://cache-cdn.cosme.net/media/product/10251/skuimg_963040_m.jpg,,5.5,4807,"税込価格：1レフィル・3,080円",順位ダウン,https://www.cosme.net/brands/29/
2025-12-29,2025-12-29T13:37:43.898184Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,7.0,7.0,,,,10188648,ヴォワールコレクチュールｎ,クレ・ド・ポー ボーテ,https://www.cosme.net/products/10188648/,https://cache-cdn.cosme.net/media/product/10188/skuimg_992981_m.jpg,,5.8,18677,"税込価格：40g・8,250円",順位ダウン,https://www.cosme.net/brands/112/
2025-12-29,2025-12-29T13:37:43.898203Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,8.0,8.0,,,,10243030,スキンクリア クレンズ オイル アロマタイプ リフレシングシトラスの香り,アテニア,https://www.cosme.net/products/10243030/,https://cache-cdn.cosme.net/media/product/10243/skuimg-d_98261_m.jpg,,5.6,14150,"税込価格：175ml・1,980円",順位ダウン,https://www.cosme.net/brands/438/
2025-12-29,2025-12-29T13:37:43.898216Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,9.0,9.0,,,,10147158,クリーミータッチライナー,キャンメイク,https://www.cosme.net/products/10147158/,https://cache-cdn.cosme.net/media/product/10147/skuimg_976925_m.jpg,,5.4,24169,税込価格：715円,順位アップ,https://www.cosme.net/brands/68/
2025-12-29,2025-12-29T13:37:43.898224Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products,10.0,10.0,,,,10270653,PDRN100ヒアルロン酸セラムマスク,Anua,https://www.cosme.net/products/10270653/,https://cache-cdn.cosme.net/media/product/10270/skuimg_1029058_m.jpg,,5.3,4625,税込価格：7枚・770円,順位アップ,https://www.cosme.net/brands/122666/
2025-12-29,2025-12-29T13:37:45.995713Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,11.0,1.0,,,,10276719,リフトモイスト ローション しっとりタイプ ba,エリクシール,https://www.cosme.net/products/10276719/,https://cache-cdn.cosme.net/media/product/10276/skuimg_1048922_m.jpg,,5.5,1780,"税込価格：150ml・2,970円 (編集部調べ)",10位以上順位アップ,https://www.cosme.net/brands/7/
2025-12-29,2025-12-29T13:37:45.995747Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,12.0,2.0,,,,10248076,ルース パウダー,コスメデコルテ,https://www.cosme.net/products/10248076/,https://cache-cdn.cosme.net/media/product/10248/skuimg_947990_m.jpg,,5.7,9229,"税込価格：16g・6,270円",順位ダウン,https://www.cosme.net/brands/79/
2025-12-29,2025-12-29T13:37:45.995762Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,13.0,3.0,,,,10259711,ゴールデンタイムリペア　深夜浸透クリーム,SOFINA iP,https://www.cosme.net/products/10259711/,https://cache-cdn.cosme.net/media/product/10259/skuimg_994336_m.jpg,,5.3,2504,"税込価格：55g・2,640円 (編集部調べ)",順位アップ,https://www.cosme.net/brands/112175/
2025-12-29,2025-12-29T13:37:45.995773Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,14.0,4.0,,,,10243404,マルチファンデパフ ２Ｐ,ロージーローザ,https://www.cosme.net/products/10243404/,https://cache-cdn.cosme.net/media/product/10243/skuimg-d_98697_m.jpg,,5.6,7423,税込価格：2個入り・638円,順位ダウン,https://www.cosme.net/brands/3608/
2025-12-29,2025-12-29T13:37:45.995783Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,15.0,5.0,,,,10279126,モイストケア　ローション　ＥＸ,d プログラム,https://www.cosme.net/products/10279126/,https://cache-cdn.cosme.net/media/product/10279/skuimg_1057748_m.jpg,,5.5,2090,"税込価格：110ml(レフィル)・2,860円",順位ダウン,https://www.cosme.net/brands/645/
2025-12-29,2025-12-29T13:37:45.995793Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,16.0,6.0,,,,10263023,PDRN ヒアルロン酸100 セラム,Anua,https://www.cosme.net/products/10263023/,https://cache-cdn.cosme.net/media/product/10263/skuimg_1004426_m.jpg,,5.2,7704,税込価格：1ml (オープン価格),順位アップ,https://www.cosme.net/brands/122666/
2025-12-29,2025-12-29T13:37:45.995802Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,17.0,7.0,,,,10124096,スピーディーマスカラリムーバー,ヒロインメイク,https://www.cosme.net/products/10124096/,https://cache-cdn.cosme.net/media/product/10124/skuimg_1068924_m.jpg,,6.0,15102,税込価格：924円,順位ダウン,https://www.cosme.net/brands/11624/
2025-12-29,2025-12-29T13:37:45.995811Z,cosme,JP,ALL,종합 뷰티,products_top100,https://www.cosme.net/ranking/products/page/1,18.0,8.0,,,,10257456,ABC-Gピールウォッシュ,ドクターケイ,https://www.cosme.net/products/10257456/,https://cache-cdn.cosme.net/media/product/10257/skuimg_983055_m.jpg,,5.3,4001,"税込価格：100mL・3,300円",順位アップ,https://www.cosme.net/brands/4566/
